season,league,division,team1,team2,result,wins1,wins2,ties,games_played
2018,MLB,AL-West,OAK,SEA,SEA,9,10,0,19
2018,MLB,AL-West,OAK,TEX,OAK,13,6,0,19
2018,MLB,AL-West,SEA,TEX,SEA,10,9,0,19
2018,MLB,NL-Central,CHN,CIN,CHN,11,8,0,19
2018,MLB,NL-Central,CHN,MIL,CHN,11,9,0,20
2018,MLB,NL-Central,CHN,PIT,CHN,10,9,0,19
2018,MLB,NL-Central,CHN,SLN,SLN,9,10,0,19
2018,MLB,NL-Central,CIN,MIL,MIL,6,13,0,19
2018,MLB,NL-Central,CIN,PIT,PIT,5,14,0,19
2018,MLB,NL-Central,CIN,SLN,SLN,7,12,0,19
2018,MLB,NL-Central,MIL,PIT,PIT,7,12,0,19
2018,MLB,NL-Central,MIL,SLN,MIL,11,8,0,19
2018,MLB,NL-Central,PIT,SLN,SLN,8,11,0,19
2018,MLB,NL-East,ATL,MIA,ATL,14,5,0,19
2018,MLB,NL-East,ATL,NYN,ATL,13,6,0,19
2018,MLB,NL-East,ATL,PHI,ATL,12,7,0,19
2018,MLB,NL-East,ATL,WAS,ATL,10,9,0,19
2018,MLB,NL-East,MIA,NYN,NYN,7,12,0,19
2018,MLB,NL-East,MIA,PHI,PHI,8,11,0,19
2018,MLB,NL-East,MIA,WAS,WAS,6,13,0,19
2018,MLB,NL-East,NYN,PHI,NYN,11,8,0,19
2018,MLB,NL-East,NYN,WAS,NYN,11,8,0,19
2018,MLB,NL-East,PHI,WAS,WAS,8,11,0,19
2018,MLB,NL-West,ARI,COL,COL,8,11,0,19
2018,MLB,NL-West,ARI,LAN,ARI,11,8,0,19
2018,MLB,NL-West,ARI,SDN,ARI,12,7,0,19
2018,MLB,NL-West,ARI,SFN,SFN,8,11,0,19
2018,MLB,NL-West,COL,LAN,LAN,7,13,0,20
2018,MLB,NL-West,COL,SDN,COL,11,8,0,19
2018,MLB,NL-West,COL,SFN,COL,12,7,0,19
2018,MLB,NL-West,LAN,SDN,LAN,14,5,0,19
2018,MLB,NL-West,LAN,SFN,LAN,10,9,0,19
2018,MLB,NL-West,SDN,SFN,SFN,8,11,0,19
2019,MLB,AL-Central,CHA,CLE,CHA,11,8,0,19
2019,MLB,AL-Central,CHA,DET,CHA,12,6,0,18
2019,MLB,AL-Central,CHA,KCA,KCA,9,10,0,19
2019,MLB,AL-Central,CHA,MIN,MIN,6,13,0,19
2019,MLB,AL-Central,CLE,DET,CLE,18,1,0,19
2019,MLB,AL-Central,CLE,KCA,CLE,12,7,0,19
2019,MLB,AL-Central,CLE,MIN,CLE,10,9,0,19
2019,MLB,AL-Central,DET,KCA,DET,10,9,0,19
